PLAYER_ID,PLAYER_NAME,league,season,role,POSITION,GP,MIN,PTS,AST,REB,STL,BLK,TOV,FGA,FTA,FG3A,USG_PCT
1631104,Blake Wesley,NBA,2024-25,Guard,G,58,11.8,3.7,2.0,1.1,0.6,0.1,0.9,3.2,1.1,1.0,0.165
1626171,Bobby Portis Jr.,NBA,2024-25,Wing,F,49,25.4,13.9,2.1,8.4,0.7,0.5,1.2,12.1,1.5,3.6,0.234
1641752,Bobi Klintman,NBA,2024-25,Wing,F,8,5.3,1.9,0.9,0.9,0.3,0.1,0.1,1.3,0.3,0.6,0.121
203992,Bogdan Bogdanović,NBA,2024-25,Guard,G,54,25.0,10.8,2.7,2.9,0.8,0.2,1.4,9.1,1.2,5.4,0.183
1629626,Bol Bol,NBA,2024-25,Big,C-F,36,12.5,6.8,0.6,2.9,0.3,0.7,0.6,5.1,0.7,2.6,0.204
1630538,Bones Hyland,NBA,2024-25,Guard,G,24,9.9,6.2,1.3,1.0,0.8,0.2,1.0,4.9,1.1,3.4,0.274
203078,Bradley Beal,NBA,2024-25,Guard,G,53,32.1,17.0,3.7,3.3,1.1,0.5,1.9,13.1,2.6,5.0,0.219
1642382,Branden Carlson,NBA,2024-25,Big,C,32,7.7,3.8,0.4,1.7,0.2,0.7,0.2,3.0,0.6,2.1,0.185
1641764,Brandin Podziemski,NBA,2024-25,Guard,G,64,26.8,11.7,3.4,5.1,1.1,0.2,1.2,9.8,1.5,4.8,0.177
1630527,Brandon Boston Jr.,NBA,2024-25,Guard,G,42,23.6,10.7,2.2,3.2,1.3,0.2,1.2,9.1,2.0,3.3,0.199
1629634,Brandon Clarke,NBA,2024-25,Wing,F,64,18.9,8.3,1.0,5.1,0.8,0.6,0.6,5.9,1.4,0.3,0.15
1627742,Brandon Ingram,NBA,2024-25,Wing,F,18,33.1,22.2,5.2,5.6,0.9,0.6,3.8,18.5,3.1,6.4,0.305
1641706,Brandon Miller,NBA,2024-25,Wing,F,27,34.2,21.0,3.6,4.9,1.1,0.7,2.8,18.2,2.9,10.9,0.27
1630314,Brandon Williams,NBA,2024-25,Guard,G,33,14.8,8.3,2.3,1.8,0.7,0.2,1.2,5.7,2.0,1.8,0.218
1630296,Braxton Key,NBA,2024-25,Wing,F,3,3.6,1.0,0.0,0.7,0.7,0.0,0.3,1.3,2.0,0.3,0.222
1641729,Brice Sensabaugh,NBA,2024-25,Wing,F,71,20.2,10.9,1.5,3.0,0.6,0.1,1.5,8.4,1.0,5.2,0.208
1642355,Bronny James,NBA,2024-25,Guard,G,27,6.7,2.3,0.8,0.7,0.3,0.1,0.5,2.5,0.5,1.2,0.199
201572,Brook Lopez,NBA,2024-25,Big,C,80,31.8,13.0,1.8,5.0,0.6,1.9,1.1,9.7,1.7,4.7,0.157
1628971,Bruce Brown,NBA,2024-25,Wing,G-F,41,22.5,8.3,2.0,4.0,0.8,0.2,1.0,7.5,1.6,2.0,0.169
1628981,Bruno Fernando,NBA,2024-25,,,17,8.6,3.4,1.1,3.0,0.2,0.5,0.8,2.9,0.5,0.0,0.182
